10,121
27.715,120.863
45.43,120.727
63.146,120.59
80.861,120.454
98.576,120.317
116.291,120.18
134.007,120.044
151.722,119.907
169.437,119.77
187.152,119.634
204.868,119.497
222.583,119.361
240.298,119.224
258.013,119.087
275.728,118.951
293.444,118.814
311.159,118.677
328.874,118.541
346.589,118.404
364.305,118.268
382.02,118.131
398.789,117.296
393.698,100.327
388.608,83.359
383.517,66.39
378.426,49.421
373.336,32.453
368.245,15.484
374.345,13.331
389.275,22.867
404.204,32.404
419.134,41.941
434.064,51.478
448.993,61.015
463.923,70.552
478.853,80.088
493.783,89.625
508.712,99.162
523.642,108.699
538.572,118.236
553.501,127.773
568.431,137.31
583.361,146.846
598.291,156.383
613.22,165.92
628.15,175.457
615.576,185.946
601.341,196.492
587.107,207.038
572.872,217.585
558.637,228.131
544.403,238.677
530.168,249.224
515.934,259.77
501.699,270.316
487.464,280.862
473.23,291.409
458.995,301.955
444.761,312.501
430.526,323.048
416.291,333.594
402.057,344.14
387.822,354.686
383.753,348.678
386.719,331.212
389.685,313.747
392.65,296.281
395.616,278.815
398.582,261.349
390.753,25
373.037,25
355.322,25
337.606,25
319.89,253
302.174,25
284.459,25
266.743,25
249.027,25
231.311,25
213.596,25
195.88,253
178.164,25
160.448,25
142.733,25
125.017,25
107.301,25
89.585,25
71.87,253
54.154,25
36.438,25
18.722,25
9.061,245.007
9.195,227.291
9.329,209.576
9.463,191.861
9.597,174.146
9.732,156.43
9.866,138.715
10,121
