0;101,152
1;100.959063974607,156.912323047136
2;100.918127949214,161.824646094272
3;100.877191923822,166.736969141409
4;100.836255898429,171.649292188545
5;100.795319873036,176.561615235681
6;100.754383847643,181.473938282817
7;100.71344782225,186.386261329953
8;100.672511796858,191.298584377089
9;100.631575771465,196.210907424226
10;100.590639746072,201.123230471362
11;100.549703720679,206.035553518498
12;100.508767695286,210.947876565634
13;100.467831669894,215.86019961277
14;100.426895644501,220.772522659906
15;100.385959619108,225.684845707043
16;100.345023593715,230.597168754179
17;100.304087568322,235.509491801315
18;100.26315154293,240.421814848451
19;100.222215517537,245.334137895587
20;100.181279492144,250.246460942724
21;100.140343466751,255.15878398986
22;100.099407441358,260.071107036996
23;100.058471415966,264.983430084132
24;100.017535390573,269.895753131268
25;102.044912052788,273.924623108506
26;105.622189864383,277.291472813537
27;109.199467675979,280.658322518568
28;112.776745487574,284.025172223599
29;116.354023299169,287.39202192863
30;119.931301110765,290.758871633661
31;123.50857892236,294.125721338692
32;127.085856733956,297.492571043723
33;130.663134545551,300.859420748754
34;134.240412357147,304.226270453785
35;137.817690168742,307.593120158816
36;141.394967980337,310.959969863847
37;144.972245791933,314.326819568878
38;148.549523603528,317.693669273909
39;152.126801415124,321.06051897894
40;155.704079226719,324.427368683971
41;159.281357038315,327.794218389002
42;162.85863484991,331.161068094033
43;166.435912661505,334.527917799064
44;170.013190473101,337.894767504095
45;173.590468284696,341.261617209126
46;177.167746096292,344.628466914157
47;180.745023907887,347.995316619188
48;184.322301719483,351.362166324219
49;187.899579531078,354.72901602925
50;191.476857342673,358.095865734281
51;195.054135154269,361.462715439312
52;198.631412965864,364.829565144343
53;202.20869077746,368.196414849374
54;205.785968589055,371.563264554405
55;209.363246400651,374.930114259436
56;212.940524212246,378.296963964467
57;216.517802023841,381.663813669498
58;220.095079835437,385.030663374529
59;223.672357647032,388.39751307956
60;227.249635458628,391.764362784591
61;230.826913270223,395.131212489622
62;234.404191081819,398.498062194653
63;234.017218587998,401.863516364663
64;230.437571199147,405.227846617343
65;226.857923810296,408.592176870022
66;223.278276421445,411.956507122702
67;219.698629032595,415.320837375381
68;216.118981643744,418.68516762806
69;212.539334254893,422.04949788074
70;208.959686866042,425.413828133419
71;205.380039477191,428.778158386098
72;201.80039208834,432.142488638778
73;198.22074469949,435.506818891457
74;194.641097310639,438.871149144136
75;191.061449921788,442.235479396816
76;187.481802532937,445.599809649495
77;183.902155144086,448.964139902175
78;180.322507755235,452.328470154854
79;176.742860366384,455.692800407533
80;173.163212977534,459.057130660213
81;169.583565588683,462.421460912892
82;166.003918199832,465.785791165571
83;162.424270810981,469.150121418251
84;158.84462342213,472.51445167093
85;155.264976033279,475.878781923609
86;151.685328644429,479.243112176289
87;148.105681255578,482.607442428968
88;144.526033866727,485.971772681648
89;140.946386477876,489.336102934327
90;137.366739089025,492.700433187006
91;133.787091700174,496.064763439686
92;130.207444311324,499.429093692365
93;126.627796922473,502.793423945044
94;123.048149533622,506.157754197724
95;119.468502144771,509.522084450403
96;115.88885475592,512.886414703082
97;112.309207367069,516.250744955762
98;108.729559978219,519.615075208441
99;105.149912589368,522.979405461121
100;102.936739925117,526.961062321376
101;102.778354774279,531.871001997339
