Index,X,Y
0,101.0,152.0
1,100.8199423579482,173.60691704621752
2,100.63988471589637,195.21383409243506
3,100.45982707384456,216.82075113865258
4,100.27976943179274,238.42766818487013
5,100.09971178974094,260.03458523108765
6,107.02118566635352,278.6081747448033
7,122.75588881692876,293.4173071218153
8,138.49059196750397,308.2264394988273
9,154.2252951180792,323.03557187583925
10,169.95999826865443,337.8447042528512
11,185.6947014192297,352.65383662986324
12,201.42940456980492,367.46296900687526
13,217.16410772038014,382.27210138388716
14,232.8988108709554,397.0812337608992
15,223.35811757963148,411.881468440196
16,207.61299181256686,426.67951897315146
17,191.86786604550224,441.47756950610693
18,176.12274027843762,456.2756200390624
19,160.37761451137294,471.07367057201793
20,144.63248874430832,485.8717211049734
21,128.8873629772437,500.6697716379289
22,113.14223721017902,515.4678221708843
23,102.75209447948085,532.6850711360937
24,102.05543532602923,554.2815048930939
25,101.3587761725776,575.8779386500942
26,100.66211701912599,597.4743724070944
27,99.96545786567437,619.0708061640946
28,99.26879871222275,640.6672399210948
29,108.672231443594,639.9139644014723
30,124.42093807823674,625.1197248355958
31,140.16964471287946,610.3254852697193
32,155.91835134752222,595.5312457038427
33,171.66705798216495,580.7370061379663
34,187.41576461680768,565.9427665720898
35,203.16447125145044,551.1485270062133
36,218.91317788609314,536.3542874403367
37,234.66188452073598,521.5600478744601
38,250.4105911553787,506.76580830858364
39,266.15929779002147,491.9715687427071
40,281.90800442466417,477.17732917683065
41,297.6567110593069,462.38308961095413
42,313.40541769394963,447.5888500450776
43,329.1541243285924,432.7946104792011
44,344.9028309632352,418.0003709133245
45,360.65153759787796,403.20613134744804
46,349.6888469368136,388.31772030987753
47,334.0448451616672,373.41280523276953
48,318.40084338652076,358.50789015566147
49,302.75684161137434,343.60297507855347
50,287.1128398362279,328.69806000144547
51,271.4688380610815,313.79314492433747
52,255.82483628593508,298.88822984722947
53,240.18083451078866,283.98331477012147
54,224.53683273564224,269.07839969301347
55,208.89283096049581,254.17348461590544
56,193.24882918534922,239.26856953879727
57,177.6048274102028,224.36365446168926
58,161.96082563505638,209.45873938458126
